id;total_features;num_colaboradores;versao_media;idade_em_dias;data_ultima_edicao;data_primeira_edicao;frequencia_atualizacao_anual
324;0;0;0.0;;;;0.0
325;0;0;0.0;;;;0.0
326;2;2;1.5;12.0;31/08/2025;12/10/2023;10.595.065.312.046.400
327;1200;41;3.618.333.333.333.330;5.0;07/09/2025;16/07/2018;167.816.091.954.023
328;1213;41;35.968.672.712.283.500;5.0;07/09/2025;16/07/2018;16.963.409.961.685.800
329;1222;41;35.777.414.075.286.400;5.0;07/09/2025;16/07/2018;1.708.927.203.065.130
330;1235;44;35.668.016.194.331.900;5.0;07/09/2025;16/07/2018;17.271.072.796.934.800
331;1261;48;35.535.289.452.815.200;5.0;07/09/2025;16/07/2018;17.634.674.329.501.900
332;1252;45;35.670.926.517.571.800;5.0;07/09/2025;06/06/2009;7.697.153.444.500.580
333;1173;49;39.820.971.867.007.600;5.0;07/09/2025;22/10/2012;910.172.193.877.551
334;287;29;4.588.850.174.216.020;11.0;01/09/2025;07/02/2015;27.138.601.036.269.400
335;287;29;4.588.850.174.216.020;11.0;01/09/2025;07/02/2015;27.138.601.036.269.400
336;0;0;0.0;;;;0.0
337;3;1;4.666.666.666.666.660;12.0;31/08/2025;31/08/2025;1095.0
338;3;1;4.666.666.666.666.660;12.0;31/08/2025;31/08/2025;1095.0
339;0;0;0.0;;;;0.0
340;0;0;0.0;;;;0.0
341;0;0;0.0;;;;0.0
342;0;0;0.0;;;;0.0
343;2;2;1.5;12.0;31/08/2025;12/10/2023;10.595.065.312.046.400
344;2;2;1.5;12.0;31/08/2025;12/10/2023;10.595.065.312.046.400
345;2;2;1.5;12.0;31/08/2025;12/10/2023;10.595.065.312.046.400
346;1124;42;375.711.743.772.242;5.0;07/09/2025;16/07/2018;15.718.773.946.360.100
347;1219;45;35.914.684.167.350.200;5.0;07/09/2025;16/07/2018;17.047.318.007.662.800
348;1225;45;35.763.265.306.122.400;5.0;07/09/2025;22/10/2012;9.505.208.333.333.330
349;1252;57;3.873.003.194.888.170;5.0;07/09/2025;26/05/2010;8.183.739.255.014.320
350;290;31;4.575.862.068.965.510;11.0;01/09/2025;07/02/2015;27.422.279.792.746.100
351;289;30;4.577.854.671.280.270;11.0;01/09/2025;07/02/2015;27.327.720.207.253.800
352;3;1;4.666.666.666.666.660;12.0;31/08/2025;31/08/2025;1095.0
353;3;1;4.666.666.666.666.660;12.0;31/08/2025;31/08/2025;1095.0
354;3;1;4.666.666.666.666.660;12.0;31/08/2025;31/08/2025;1095.0
355;0;0;0.0;;;;0.0
356;0;0;0.0;;;;0.0
357;0;0;0.0;;;;0.0
358;0;0;0.0;;;;0.0
359;0;0;0.0;;;;0.0
360;0;0;0.0;;;;0.0
361;0;0;0.0;;;;0.0
362;2;2;1.5;12.0;31/08/2025;12/10/2023;10.595.065.312.046.400
363;2;2;1.5;12.0;31/08/2025;12/10/2023;10.595.065.312.046.400
364;1;1;1.0;4708.0;22/10/2012;22/10/2012;365.0
365;2;2;2.0;3844.0;05/03/2015;22/10/2012;0.8439306358381503
366;85;15;6.8;11.0;01/09/2025;30/04/2016;9.095.573.145.705.070
367;289;31;4.581.314.878.892.730;11.0;01/09/2025;07/02/2015;27.327.720.207.253.800
368;5;3;4.0;12.0;31/08/2025;05/03/2016;0.5265435660703982
369;4;2;4.25;12.0;31/08/2025;12/06/2018;0.5536594615092908
370;3;1;4.666.666.666.666.660;12.0;31/08/2025;31/08/2025;1095.0
371;0;0;0.0;;;;0.0
372;0;0;0.0;;;;0.0
373;0;0;0.0;;;;0.0
374;0;0;0.0;;;;0.0
375;0;0;0.0;;;;0.0
376;0;0;0.0;;;;0.0
377;0;0;0.0;;;;0.0
378;0;0;0.0;;;;0.0
379;0;0;0.0;;;;0.0
380;0;0;0.0;;;;0.0
381;3;2;23.333.333.333.333.300;3844.0;05/03/2015;22/10/2012;12.658.959.537.572.200
382;36;8;8.25;11.0;01/09/2025;30/04/2016;38.522.427.440.633.200
383;85;15;6.8;11.0;01/09/2025;30/04/2016;9.095.573.145.705.070
384;288;30;4.579.861.111.111.110;11.0;01/09/2025;14/06/2014;25.651.537.335.285.500
385;291;31;4.580.756.013.745.700;11.0;01/09/2025;14/06/2014;2.591.874.084.919.470
386;291;31;4.587.628.865.979.380;11.0;01/09/2025;07/02/2015;2.751.683.937.823.830
387;6;4;4.0;12.0;31/08/2025;05/03/2016;0.6318522792844777
388;2;2;3.0;2649.0;12/06/2018;05/03/2016;0.8805790108564535
389;0;0;0.0;;;;0.0
390;0;0;0.0;;;;0.0
391;0;0;0.0;;;;0.0
